ID,Time,Pickup,Dropoff,Duration,Fare
R746,37,8,8,188,4.5
R671,37,32,8,11,8.75
R909,38,8,76,51,59.7
R789,38,8,32,9,9.0
R957,38,8,32,7,9.25
R956,38,7,8,10,8.75
R874,38,33,76,64,71.88
R866,38,32,8,5,6.25
R855,38,28,32,5,5.5
R851,38,28,8,19,15.0
R839,38,8,56,29,39.5
R835,38,7,32,15,12.0
R963,38,32,32,5,7.0
R955,38,76,20,64,60.3
R910,38,32,32,4,4.75
R736,38,5,32,29,20.25
R741,38,39,8,30,22.25
R606,38,8,8,5,5.75
R749,38,28,32,6,8.5
R745,38,5,28,39,23.75
R738,38,8,28,8,7.0
R614,38,32,32,5,6.25
R623,38,32,28,10,14.4
R643,38,32,32,3,6.0
R755,38,28,28,1,4.75
R724,38,28,32,4,5.25
R718,38,76,2,45,41.0
R666,38,32,32,1,3.25
R672,38,8,76,46,53.5
R713,38,28,8,9,9.75
R679,38,76,68,67,64.25
R684,38,32,32,5,5.25
R708,38,8,32,11,12.0
R652,38,32,32,3,5.0
R760,38,32,33,7,8.25
R705,38,33,76,58,57.5
R586,38,42,8,39,31.0
R566,38,32,32,2,4.5
R765,38,8,32,12,12.25
R584,38,28,24,5,5.5
R667,39,32,32,7,10.5
R971,39,8,32,10,10.5
R795,39,8,8,4,9.5
R840,39,28,32,5,8.5
R576,39,32,8,10,8.25
R559,39,33,33,1,3.25
R837,39,8,32,3,7.5
R877,39,3,3,18,13.75
R966,39,32,32,14,13.0
R553,39,8,32,8,10.5
R944,39,28,32,7,6.75
R624,39,4,56,41,51.5
R882,39,3,8,19,19.8
R942,39,8,32,7,11.75
R906,39,32,8,7,8.75
R782,39,8,28,7,8.5
R929,39,32,33,6,10.25
R602,39,8,4,18,22.0
R612,39,32,32,4,8.0
R805,39,32,8,10,9.25
R817,39,6,8,17,18.44
R750,39,28,32,5,10.5
R589,39,32,28,4,5.0
R766,39,32,33,5,15.25
R743,39,28,32,7,6.75
R939,39,8,28,12,11.5
R609,39,22,7,20,15.0
R881,40,6,8,10,11.75
R680,40,7,32,17,14.75
R554,40,8,32,1,5.1
R685,40,8,8,6,8.0
R691,40,32,8,4,8.0
R549,40,8,28,9,12.25
R696,40,76,39,66,66.25
R973,40,77,32,32,30.7
R572,40,28,32,7,8.75
R556,40,8,32,10,8.0
R603,40,8,32,9,9.75
R897,40,32,28,3,5.25
R645,40,32,32,3,4.5
R640,40,28,8,5,5.5
R633,40,8,33,20,17.7
R629,40,32,28,5,6.0
R627,40,76,76,1,3.25
R699,40,28,8,11,10.06
R597,40,28,32,7,10.0
R895,40,6,6,1,4.25
R642,40,3,4,13,10.0
R709,40,8,32,7,9.5
R762,40,28,8,7,6.25
R809,40,19,15,13,11.5
R775,40,28,8,15,9.5
R813,40,56,33,52,46.5
R850,40,8,8,2,8.25
R731,40,8,33,16,18.3
R752,40,77,77,3,5.0
R611,41,32,56,28,39.7
R655,41,28,32,6,8.75
R757,41,77,77,10,8.0
R676,41,32,33,26,21.56
R934,41,32,8,4,6.5
R715,41,32,8,3,7.0
R938,41,8,28,13,9.5
R668,41,77,1,10,6.75
R734,41,28,32,8,9.75
R886,41,32,8,7,6.75
R615,41,8,28,9,9.0
R587,41,28,32,3,4.5
R578,41,32,32,10,7.75
R790,41,32,8,3,7.75
R976,41,32,32,3,4.75
R857,41,31,6,29,21.5
R561,41,32,32,7,5.75
R853,41,28,32,5,5.25
R962,41,8,8,10,8.0
R908,41,6,32,24,15.25
R681,41,8,32,8,8.5
R876,41,32,8,6,6.75
R800,41,32,32,2,5.25
R799,42,4,77,1,4.25
R941,42,8,76,46,52.9
R952,42,28,32,5,8.0
R964,42,32,32,7,8.5
R599,42,28,32,6,9.5
R778,42,32,8,3,4.75
R779,42,14,14,1,3.25
R806,42,28,32,9,10.0
R622,42,8,8,5,5.5
R947,42,27,27,1,24.31
